Frecuencia,Transaccionalidad,Ingresos,Cluster
5.0,121.36,1918.0,1
1.0,0.02,2000.0,1
36.0,6786.87,860.69,2
8.0,62.87,1354.39,0
12.0,1978.01,1586.03,1
13.0,1785.34,1704.0,1
2.0,60.04,487.0,0
9.0,1520.56,697.34,0
15.0,1692.3,756.0,0
2.0,0.04,640.0,0
2.0,34.3,1200.0,0
7.0,177.35,749.0,0
13.0,1717.88,874.59,0
10.0,1275.16,849.0,0
10.0,3725.2,1408.95,0
46.0,16080.91,1173.0,2
23.0,5376.75,1000.0,2
37.0,1623.27,158.0,2
1.0,0.03,1200.0,0
27.0,2136.91,0.0,2
3.0,40.74,1080.08,0
1.0,0.14,0.0,0
21.0,1744.18,650.0,0
3.0,247.01,3494.05,1
6.0,351.11,180.0,0
20.0,3090.62,1214.0,2
3.0,70.62,3530.51,1
10.0,371.26,904.52,0
14.0,1963.46,827.32,0
13.0,2689.11,840.0,0
19.0,2344.9,0.0,0
23.0,201.17,100.0,0
29.0,2955.19,1757.0,2
13.0,3551.15,2261.22,1
8.0,1371.08,1032.53,0
5.0,974.66,0.0,0
19.0,1957.4,560.0,0
1.0,0.02,825.0,0
2.0,0.07,472.98,0
20.0,6590.2,1206.72,2
7.0,1559.92,158.0,0
18.0,582.22,450.0,0
22.0,2541.76,589.0,2
8.0,2782.36,650.0,0
2.0,19.72,2320.0,1
5.0,278.98,278.0,0
1.0,0.02,920.67,0
28.0,1418.7,741.19,2
28.0,3189.69,1048.72,2
18.0,1422.51,807.63,0
11.0,1580.29,819.16,0
1.0,0.03,1550.0,1
14.0,1634.13,1133.0,0
2.0,537.32,0.0,0
4.0,2494.52,2387.24,1
6.0,226.8,158.0,0
25.0,3079.31,604.67,2
6.0,212.81,158.0,0
1.0,0.03,2200.0,1
3.0,625.52,2400.0,1
43.0,5319.98,833.0,2
20.0,1513.58,705.23,0
11.0,888.6,934.42,0
1.0,0.04,0.0,0
35.0,4330.18,927.0,2
12.0,552.08,807.63,0
9.0,304.19,158.0,0
49.0,26390.41,873.0,2
8.0,2220.59,1423.42,0
5.0,296.88,158.0,0
3.0,149.99,355.0,0
6.0,1912.06,1345.0,0
8.0,1490.0,919.16,0
10.0,153.81,1043.54,0
8.0,7181.37,0.0,0
11.0,1991.99,3116.98,1
2.0,72.57,0.0,0
27.0,1625.21,0.0,2
5.0,8195.58,1653.13,1
14.0,3419.01,1567.0,1
8.0,257.91,150.0,0
2.0,19.71,0.0,0
26.0,1678.11,969.16,2
