Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Indice_Cliente,Categoria_Indice,Cluster
0,5.0,121.36,1918.0,-0.33891250406342904,Muy Bajo,0
1,1.0,0.02,2000.0,-0.43908559234489264,Muy Bajo,0
2,36.0,6786.87,860.69,0.7583013337532171,Muy Bajo,0
3,8.0,62.87,1354.39,-0.2825274676765681,Muy Bajo,0
4,12.0,1978.01,1586.03,-0.07281234243534346,Muy Bajo,0
5,13.0,1785.34,1704.0,-0.05780224510665914,Muy Bajo,0
6,2.0,60.04,487.0,-0.4424858609766723,Muy Bajo,0
7,9.0,1520.56,697.34,-0.18822121364367028,Muy Bajo,0
8,15.0,1692.3,756.0,-0.03488257105048059,Muy Bajo,0
9,2.0,0.04,640.0,-0.4428470442236508,Muy Bajo,0
10,2.0,34.3,1200.0,-0.4295627918380406,Muy Bajo,0
11,7.0,177.35,749.0,-0.31188306026359774,Muy Bajo,0
12,13.0,1717.88,874.59,-0.07843926857867295,Muy Bajo,0
13,10.0,1275.16,849.0,-0.17556432038881026,Muy Bajo,0
14,10.0,3725.2,1408.95,-0.02328970937631727,Muy Bajo,0
15,46.0,16080.91,1173.0,1.5364621060008719,Muy Bajo,0
16,23.0,5376.75,1000.0,0.37172749161332813,Muy Bajo,0
17,37.0,1623.27,158.0,0.47073111154760744,Muy Bajo,0
18,1.0,0.03,1200.0,-0.45524660392942273,Muy Bajo,0
19,27.0,2136.91,0.0,0.2599704099746216,Muy Bajo,0
20,3.0,40.74,1080.08,-0.4079027945309943,Muy Bajo,0
21,1.0,0.14,0.0,-0.47948265550220065,Muy Bajo,0
22,21.0,1744.18,650.0,0.10823349428587226,Muy Bajo,0
23,3.0,247.01,3494.05,-0.3472681131311308,Muy Bajo,0
24,6.0,351.11,180.0,-0.3370928409582318,Muy Bajo,0
25,20.0,3090.62,1214.0,0.17338244587401305,Muy Bajo,0
26,3.0,70.62,3530.51,-0.35668010849738674,Muy Bajo,0
