Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Cluster
0,5.0,121.36,1918.0,2
1,1.0,0.02,2000.0,2
2,36.0,6786.87,860.69,0
3,8.0,62.87,1354.39,2
4,12.0,1978.01,1586.03,2
5,13.0,1785.34,1704.0,2
6,2.0,60.04,487.0,1
7,9.0,1520.56,697.34,1
8,15.0,1692.3,756.0,0
9,2.0,0.04,640.0,1
10,2.0,34.3,1200.0,2
11,7.0,177.35,749.0,1
12,13.0,1717.88,874.59,0
13,10.0,1275.16,849.0,2
14,10.0,3725.2,1408.95,0
16,23.0,5376.75,1000.0,0
17,37.0,1623.27,158.0,0
18,1.0,0.03,1200.0,2
19,27.0,2136.91,0.0,0
20,3.0,40.74,1080.08,2
21,1.0,0.14,0.0,1
22,21.0,1744.18,650.0,0
24,6.0,351.11,180.0,1
25,20.0,3090.62,1214.0,0
27,10.0,371.26,904.52,2
28,14.0,1963.46,827.32,0
29,13.0,2689.11,840.0,0
30,19.0,2344.9,0.0,0
31,23.0,201.17,100.0,1
32,29.0,2955.19,1757.0,0
33,13.0,3551.15,2261.22,0
34,8.0,1371.08,1032.53,2
35,5.0,974.66,0.0,1
36,19.0,1957.4,560.0,0
37,1.0,0.02,825.0,2
38,2.0,0.07,472.98,1
39,20.0,6590.2,1206.72,0
40,7.0,1559.92,158.0,1
41,18.0,582.22,450.0,1
42,22.0,2541.76,589.0,0
43,8.0,2782.36,650.0,0
44,2.0,19.72,2320.0,2
45,5.0,278.98,278.0,1
46,1.0,0.02,920.67,2
47,28.0,1418.7,741.19,0
48,28.0,3189.69,1048.72,0
49,18.0,1422.51,807.63,0
50,11.0,1580.29,819.16,2
51,1.0,0.03,1550.0,2
52,14.0,1634.13,1133.0,2
53,2.0,537.32,0.0,1
54,4.0,2494.52,2387.24,2
55,6.0,226.8,158.0,1
56,25.0,3079.31,604.67,0
57,6.0,212.81,158.0,1
58,1.0,0.03,2200.0,2
59,3.0,625.52,2400.0,2
61,20.0,1513.58,705.23,0
62,11.0,888.6,934.42,2
63,1.0,0.04,0.0,1
64,35.0,4330.18,927.0,0
65,12.0,552.08,807.63,2
66,9.0,304.19,158.0,1
68,8.0,2220.59,1423.42,2
69,5.0,296.88,158.0,1
70,3.0,149.99,355.0,1
71,6.0,1912.06,1345.0,2
72,8.0,1490.0,919.16,2
73,10.0,153.81,1043.54,2
74,8.0,7181.37,0.0,0
76,2.0,72.57,0.0,1
77,27.0,1625.21,0.0,0
79,14.0,3419.01,1567.0,0
80,8.0,257.91,150.0,1
81,2.0,19.71,0.0,1
82,26.0,1678.11,969.16,0
83,26.0,2167.29,1178.0,0
84,15.0,2124.45,1022.18,0
85,34.0,2748.56,0.0,0
86,10.0,827.57,671.48,1
87,25.0,364.86,158.0,1
88,3.0,43.11,1045.0,2
89,31.0,2222.57,1022.18,0
90,4.0,82.87,650.0,1
91,1.0,0.05,0.0,1
92,15.0,2291.86,1003.0,0
93,28.0,4529.6,1306.64,0
94,13.0,1164.0,871.55,2
95,2.0,19.71,0.0,1
96,8.0,1596.54,896.03,2
97,11.0,2112.49,1570.0,2
98,17.0,1880.07,969.12,0
99,24.0,2329.95,849.15,0
100,18.0,2583.46,0.0,0
102,7.0,258.25,150.0,1
103,18.0,3372.71,1082.88,0
105,9.0,1101.0,519.0,1
106,24.0,2032.43,1090.0,0
107,19.0,7172.27,1255.0,0
108,9.0,1556.94,1312.04,2
109,2.0,466.08,528.15,1
111,23.0,2034.17,849.15,0
112,8.0,372.35,158.0,1
113,6.0,1690.15,2000.0,2
114,16.0,1219.31,156.78,1
115,10.0,183.0,1003.72,2
116,8.0,361.34,807.63,2
118,9.0,1438.08,0.0,1
119,6.0,1036.64,888.37,2
120,15.0,2198.5,807.63,0
122,30.0,4434.95,0.0,0
123,9.0,307.12,150.0,1
124,14.0,1670.85,0.0,1
125,11.0,2957.6,1000.0,0
126,24.0,743.6,208.0,0
127,37.0,3660.39,1257.49,0
128,12.0,2057.3,947.6,0
129,13.0,2197.06,986.03,0
131,28.0,520.64,158.0,0
132,2.0,19.71,726.0,1
133,13.0,411.93,150.0,1
135,31.0,7798.44,158.0,0
136,23.0,2927.69,1280.0,0
137,13.0,1845.98,730.0,0
138,1.0,0.02,807.63,2
139,15.0,2084.24,1917.34,2
140,2.0,321.24,485.0,1
142,9.0,955.95,1901.35,2
144,11.0,1249.47,754.49,2
145,33.0,6598.32,1273.4,0
146,19.0,1774.57,819.16,0
147,4.0,653.45,703.0,1
148,9.0,1214.91,819.16,2
149,5.0,348.73,180.0,1
151,23.0,4894.41,1448.43,0
152,20.0,1961.26,800.0,0
153,15.0,1181.77,608.7,1
154,11.0,2564.5,849.15,0
155,24.0,3180.62,0.0,0
157,9.0,1682.24,674.09,1
158,3.0,10.32,1257.49,2
159,20.0,2116.58,748.02,0
161,5.0,214.66,969.12,2
162,34.0,2252.24,1017.0,0
163,8.0,4720.35,872.94,0
164,15.0,496.16,728.59,1
165,6.0,284.43,158.0,1
166,5.0,172.82,158.0,1
167,1.0,0.02,850.0,2
168,9.0,1763.86,1410.08,2
169,1.0,0.02,0.0,1
170,18.0,4388.22,1647.43,0
171,9.0,5709.01,1170.0,0
173,2.0,20.03,939.0,2
174,1.0,0.02,803.0,2
175,2.0,19.73,937.59,2
176,2.0,19.71,1022.0,2
177,25.0,2479.33,600.0,0
178,5.0,500.06,905.0,2
179,1.0,0.02,1400.0,2
180,21.0,2960.05,819.0,0
181,9.0,4201.9,0.0,0
183,23.0,7553.89,1298.0,0
184,20.0,1988.28,767.54,0
186,15.0,1957.37,819.16,0
187,8.0,3.56,1700.0,2
188,23.0,1703.16,0.0,0
190,23.0,4640.97,1460.26,0
191,22.0,4066.99,1993.0,0
192,14.0,2064.38,1289.12,0
193,24.0,1652.73,979.0,0
195,1.0,0.02,0.0,1
199,26.0,2728.96,1006.71,0
200,6.0,733.6,580.43,1
202,4.0,736.44,658.74,1
203,1.0,0.02,800.0,2
204,4.0,24.94,2200.0,2
206,2.0,19.71,650.0,1
208,12.0,449.49,150.0,1
209,21.0,2300.28,969.12,0
211,11.0,1597.91,975.0,2
212,4.0,277.7,0.0,1
213,2.0,19.71,0.0,1
214,8.0,1192.77,860.69,2
215,32.0,5131.13,2349.61,0
216,3.0,1489.09,1618.0,2
217,16.0,3680.99,978.09,0
219,32.0,1867.32,158.0,0
220,20.0,1862.1,750.31,0
221,18.0,1655.58,474.42,0
222,16.0,1821.68,833.77,0
223,16.0,2558.1,807.63,0
224,13.0,2127.94,1730.0,2
226,4.0,231.88,150.0,1
227,6.0,173.13,1003.72,2
228,7.0,1754.12,849.15,2
229,1.0,0.02,1250.0,2
230,5.0,309.25,180.0,1
231,1.0,0.02,100.0,1
233,26.0,2144.37,1000.0,0
234,2.0,1179.87,0.0,1
235,22.0,3801.15,324.9,0
236,18.0,2579.56,850.0,0
237,8.0,789.31,533.0,1
239,12.0,1604.13,849.15,2
240,6.0,2764.25,1875.0,2
242,18.0,710.71,158.0,1
243,23.0,2208.41,1130.0,0
244,11.0,1801.21,0.0,1
246,11.0,165.14,930.0,2
247,29.0,2350.07,1000.72,0
248,12.0,2757.54,819.16,0
249,7.0,1140.21,807.63,2
250,1.0,0.02,0.0,1
251,25.0,1355.2,800.0,0
252,18.0,3293.36,950.0,0
253,17.0,4419.09,160.0,0
254,8.0,1086.29,0.0,1
255,12.0,2122.77,1003.72,0
256,7.0,1552.37,937.59,2
257,12.0,2097.51,731.0,0
258,17.0,1485.46,1572.57,2
259,1.0,0.02,0.0,1
262,5.0,319.22,807.63,2
263,31.0,981.31,304.03,0
264,25.0,4476.19,803.0,0
265,10.0,1609.54,700.0,1
266,3.0,1263.15,890.0,2
268,12.0,1853.87,986.03,2
269,1.0,0.04,2000.0,2
270,36.0,3905.81,1470.31,0
271,20.0,1804.95,921.77,0
272,37.0,2663.0,1150.0,0
273,8.0,262.15,158.0,1
274,4.0,27.14,700.0,1
275,24.0,5854.29,1109.77,0
276,7.0,249.81,158.0,1
278,10.0,1796.31,1220.0,2
279,3.0,590.08,793.26,2
280,16.0,4122.65,1260.0,0
281,26.0,2769.26,1234.65,0
282,13.0,2375.9,1546.9,2
283,2.0,19.71,150.0,1
284,1.0,0.31,1823.29,2
285,2.0,1.02,1580.0,2
286,3.0,20.11,150.0,1
287,2.0,1.02,819.16,2
288,21.0,1800.55,150.0,0
289,13.0,1771.62,807.63,0
292,2.0,299.7,748.08,1
293,9.0,401.89,1003.43,2
295,19.0,997.17,639.01,0
296,2.0,149.05,664.0,1
297,15.0,2587.49,1123.0,0
298,2.0,19.72,0.0,1
300,4.0,259.06,1304.4,2
301,2.0,250.03,1200.0,2
302,4.0,207.71,1022.18,2
303,35.0,5953.89,1405.0,0
304,15.0,3241.78,2119.0,0
305,30.0,5422.18,1377.02,0
307,2.0,1.02,300.0,1
308,2.0,1.31,2090.33,2
309,23.0,2354.39,1070.62,0
310,10.0,1156.78,517.1,1
311,14.0,2206.25,160.0,1
312,9.0,5460.49,2150.0,0
313,4.0,2.1,640.32,1
314,1.0,0.02,1412.0,2
315,29.0,1462.86,819.16,0
316,25.0,683.87,807.63,0
317,4.0,181.05,210.0,1
318,17.0,2981.87,1304.4,0
319,18.0,327.89,100.0,1
320,1.0,0.31,0.0,1
321,2.0,1.02,354.0,1
323,15.0,397.68,158.0,1
324,13.0,1201.61,1800.0,2
325,1.0,0.02,723.45,1
327,17.0,3513.3,819.0,0
328,8.0,265.91,537.87,1
329,25.0,3451.27,1449.0,0
330,6.0,218.98,178.0,1
331,3.0,607.63,1760.0,2
332,6.0,232.82,150.0,1
333,8.0,2695.09,727.0,0
335,32.0,1623.99,819.16,0
337,22.0,44.97,1200.0,2
340,18.0,2021.88,2386.94,2
341,2.0,1.03,2156.0,2
342,19.0,2883.15,1800.0,0
344,1.0,0.02,0.0,1
347,14.0,1231.45,725.86,2
348,32.0,790.93,158.0,0
349,15.0,3835.7,2170.4,0
350,25.0,1659.36,158.0,0
351,24.0,2381.59,1212.0,0
352,13.0,1832.37,800.0,0
353,12.0,685.57,1200.0,2
354,9.0,307.45,971.35,2
355,24.0,2589.42,860.69,0
356,23.0,2143.68,0.0,0
357,1.0,0.02,1000.0,2
359,22.0,1853.42,954.51,0
360,11.0,1589.37,944.16,2
361,28.0,2246.15,986.03,0
362,5.0,237.54,158.0,1
363,3.0,561.74,0.0,1
364,14.0,1215.11,0.0,1
365,17.0,1173.4,454.66,1
366,29.0,4331.93,833.77,0
367,1.0,0.02,1000.0,2
368,2.0,50.04,1750.0,2
370,10.0,2017.02,653.33,1
371,11.0,1540.05,807.63,2
372,12.0,1903.93,880.0,0
373,24.0,3442.16,1623.63,0
374,3.0,61.96,632.77,1
375,16.0,1731.15,150.0,1
376,12.0,2016.54,935.0,0
377,29.0,1749.22,807.63,0
378,10.0,540.39,708.51,1
380,15.0,1689.67,564.61,0
381,9.0,1166.27,915.88,2
382,7.0,445.12,1000.0,2
383,12.0,2647.17,860.69,0
384,1.0,0.03,0.0,1
385,15.0,1063.71,1122.0,2
386,2.0,0.04,0.0,1
387,12.0,2689.25,0.0,1
389,1.0,0.02,965.15,2
391,1.0,0.15,0.0,1
392,7.0,1133.06,807.63,2
393,3.0,0.07,937.59,2
395,25.0,1874.13,1200.0,0
396,7.0,757.79,1600.0,2
397,6.0,313.16,158.0,1
398,11.0,1943.32,807.63,2
399,16.0,1593.41,819.16,0
400,21.0,1083.91,493.72,0
401,28.0,1786.55,707.16,0
402,27.0,3528.96,807.0,0
403,14.0,486.59,155.0,1
406,4.0,426.05,194.84,1
407,22.0,5041.15,1018.41,0
408,11.0,1002.76,819.16,2
409,3.0,70.31,0.0,1
410,2.0,19.71,1990.0,2
411,11.0,1557.97,740.79,2
412,5.0,201.38,1369.12,2
413,6.0,1670.86,150.0,1
414,33.0,3227.74,804.63,0
415,14.0,1597.36,874.53,0
418,5.0,248.24,158.0,1
419,2.0,30.82,776.63,1
420,16.0,1209.0,0.0,1
421,12.0,2591.42,901.56,0
422,19.0,1586.8,819.16,0
423,23.0,3363.5,1022.18,0
424,4.0,353.28,1043.0,2
426,12.0,1993.53,986.03,2
427,31.0,2570.37,1090.0,0
428,1.0,0.4,158.0,1
429,19.0,1926.15,0.0,1
430,22.0,1617.01,819.16,0
431,2.0,1.02,150.0,1
432,10.0,1858.78,732.0,2
433,10.0,1512.43,819.16,2
434,9.0,795.79,512.2,1
435,15.0,581.9,1640.0,2
436,23.0,2552.51,849.15,0
437,11.0,2175.65,781.18,0
438,3.0,142.84,1090.62,2
439,20.0,2928.7,1755.0,0
440,11.0,1844.38,849.15,2
441,14.0,1673.72,1090.62,2
442,32.0,1630.24,2031.87,0
444,18.0,1840.72,860.0,0
445,17.0,2705.69,800.0,0
446,3.0,977.56,200.0,1
447,11.0,1166.6,819.16,2
448,23.0,1686.79,819.16,0
449,16.0,1321.36,807.0,0
450,3.0,166.76,1003.72,2
451,7.0,1112.25,680.55,1
452,2.0,326.85,326.0,1
454,5.0,759.19,800.0,2
455,27.0,4212.39,2027.28,0
456,5.0,355.86,1130.61,2
457,1.0,0.05,1005.0,2
458,18.0,2866.41,732.49,0
459,2.0,0.04,610.77,1
460,12.0,2270.66,1115.0,0
461,5.0,299.74,0.0,1
462,23.0,2130.99,600.0,0
463,34.0,2999.07,1100.0,0
464,29.0,1513.18,810.0,0
465,5.0,602.79,2317.0,2
466,2.0,0.04,1550.0,2
467,8.0,951.57,1328.1,2
468,16.0,2842.44,857.69,0
469,10.0,3940.88,1877.25,0
470,13.0,1847.74,703.77,0
472,4.0,24.05,920.67,2
473,17.0,1297.73,929.41,0
475,19.0,2466.77,1234.42,0
476,18.0,706.67,1636.0,2
477,2.0,200.31,0.0,1
478,32.0,3220.38,1110.61,0
480,14.0,2340.53,1280.56,0
481,11.0,2425.03,1270.61,2
483,23.0,5948.8,0.0,0
484,10.0,1025.64,1127.96,2
485,2.0,19.71,0.0,1
486,14.0,1797.6,791.71,0
488,4.0,179.84,1200.0,2
489,3.0,1821.81,1686.87,2
490,7.0,454.99,754.63,1
491,6.0,292.67,150.0,1
492,15.0,2211.73,907.56,0
493,8.0,630.63,400.0,1
494,8.0,1146.55,750.0,2
496,23.0,3205.84,807.63,0
497,18.0,2386.13,969.12,0
498,2.0,200.4,400.0,1
499,7.0,1446.05,1200.0,2
500,6.0,1087.82,624.05,1
501,17.0,2155.0,1090.62,0
502,29.0,1906.39,1221.31,0
503,2.0,0.04,1209.58,2
504,3.0,44.05,1003.0,2
505,10.0,357.17,158.0,1
506,36.0,2395.76,1130.0,0
