"Frecuencia,""Transaccionalidad"",""Ingresos"""
5,121.36,1918
1,0.02,2000
36,6786.87,860.69
8,62.87,1354.39
12,1978.01,1586.03
13,1785.34,1704
2,60.04,487
9,1520.56,697.34
15,1692.3,756
2,0.04,640
2,34.3,1200
7,177.35,749
13,1717.88,874.59
10,1275.16,849
10,3725.2,1408.95
46,16080.91,1173
23,5376.75,1000
37,1623.27,158
1,0.03,1200
27,2136.91,0
3,40.74,1080.08
1,0.14,0
21,1744.18,650
3,247.01,3494.05
6,351.11,180
20,3090.62,1214
3,70.62,3530.51
10,371.26,904.52
14,1963.46,827.32
13,2689.11,840
19,2344.9,0
23,201.17,100
29,2955.19,1757
13,3551.15,2261.22
8,1371.08,1032.53
5,974.66,0
19,1957.4,560
1,0.02,825
2,0.07,472.98
20,6590.2,1206.72
7,1559.92,158
18,582.22,450
22,2541.76,589
8,2782.36,650
2,19.72,2320
5,278.98,278
1,0.02,920.67
28,1418.7,741.19
28,3189.69,1048.72
18,1422.51,807.63
11,1580.29,819.16
1,0.03,1550
14,1634.13,1133
2,537.32,0
4,2494.52,2387.24
6,226.8,158
25,3079.31,604.67
6,212.81,158
1,0.03,2200
3,625.52,2400
43,5319.98,833
20,1513.58,705.23
11,888.6,934.42
1,0.04,0
35,4330.18,927
12,552.08,807.63
9,304.19,158
49,26390.41,873
8,2220.59,1423.42
5,296.88,158
3,149.99,355
6,1912.06,1345
8,1490,919.16
10,153.81,1043.54
8,7181.37,0
11,1991.99,3116.98
2,72.57,0
27,1625.21,0
5,8195.58,1653.13
14,3419.01,1567
8,257.91,150
2,19.71,0
26,1678.11,969.16
26,2167.29,1178
15,2124.45,1022.18
34,2748.56,0
10,827.57,671.48
25,364.86,158
3,43.11,1045
31,2222.57,1022.18
4,82.87,650
1,0.05,0
15,2291.86,1003
28,4529.6,1306.64
13,1164,871.55
2,19.71,0
8,1596.54,896.03
11,2112.49,1570
17,1880.07,969.12
24,2329.95,849.15
18,2583.46,0
21,23677.36,605.53
7,258.25,150
18,3372.71,1082.88
3,301.26,3000
9,1101,519
24,2032.43,1090
19,7172.27,1255
9,1556.94,1312.04
2,466.08,528.15
59,2329.78,807.63
23,2034.17,849.15
8,372.35,158
6,1690.15,2000
16,1219.31,156.78
10,183,1003.72
8,361.34,807.63
43,2070.08,815.32
9,1438.08,0
6,1036.64,888.37
15,2198.5,807.63
5,4334.29,4945.56
30,4434.95,0
9,307.12,150
14,1670.85,0
11,2957.6,1000
24,743.6,208
37,3660.39,1257.49
12,2057.3,947.6
13,2197.06,986.03
34,13007.87,849
28,520.64,158
2,19.71,726
13,411.93,150
10,2539,3868.2
31,7798.44,158
23,2927.69,1280
13,1845.98,730
1,0.02,807.63
15,2084.24,1917.34
2,321.24,485
1,0.03,5446
9,955.95,1901.35
40,2074.91,878.13
11,1249.47,754.49
33,6598.32,1273.4
19,1774.57,819.16
4,653.45,703
9,1214.91,819.16
5,348.73,180
9,5490.9,2586.34
23,4894.41,1448.43
20,1961.26,800
15,1181.77,608.7
11,2564.5,849.15
24,3180.62,0
40,2476.28,807.63
9,1682.24,674.09
3,10.32,1257.49
20,2116.58,748.02
6,222.31,3980
5,214.66,969.12
34,2252.24,1017
8,4720.35,872.94
15,496.16,728.59
6,284.43,158
5,172.82,158
1,0.02,850
9,1763.86,1410.08
1,0.02,0
18,4388.22,1647.43
9,5709.01,1170
67,3548.91,1019.53
2,20.03,939
1,0.02,803
2,19.73,937.59
2,19.71,1022
25,2479.33,600
5,500.06,905
1,0.02,1400
21,2960.05,819
9,4201.9,0
59,2154.8,800.3
23,7553.89,1298
20,1988.28,767.54
20,3324.92,3245.13
15,1957.37,819.16
8,3.56,1700
23,1703.16,0
2,19.71,3050
23,4640.97,1460.26
22,4066.99,1993
14,2064.38,1289.12
24,1652.73,979
79,13280.64,787.54
1,0.02,0
42,2294.12,969.54
41,3831.75,710.91
4,23003.26,749.97
26,2728.96,1006.71
6,733.6,580.43
41,3646.07,2028.37
4,736.44,658.74
1,0.02,800
